frame.number,frame.time_relative,frame.protocols,ip.src,ip.dst
11619,10.207845571,eth:ethertype:data,,
11633,10.216411969,eth:ethertype:data,,
11672,10.240161790,eth:ethertype:data,,
11686,10.246875950,eth:ethertype:data,,
11702,10.252773549,eth:ethertype:data,,
11727,10.281244824,eth:ethertype:data,,
11792,10.321189629,eth:ethertype:data,,
11819,10.352913870,eth:ethertype:data,,
11880,10.388348628,eth:ethertype:data,,
11885,10.394599924,eth:ethertype:data,,
11891,10.403467832,eth:ethertype:data,,
11927,10.435475719,eth:ethertype:data,,
11986,10.472328600,eth:ethertype:data,,
11994,10.477462449,eth:ethertype:data,,
12018,10.504173986,eth:ethertype:data,,
12111,10.574171784,eth:ethertype:data,,
12184,10.619093825,eth:ethertype:data,,
12208,10.646827288,eth:ethertype:data,,
12276,10.688506415,eth:ethertype:data,,
12303,10.719940864,eth:ethertype:data,,
12379,10.776720654,eth:ethertype:data,,
12392,10.785182781,eth:ethertype:data,,
12416,10.810977861,eth:ethertype:data,,
12505,10.879997639,eth:ethertype:data,,
12611,10.960080740,eth:ethertype:data,,
12935,11.198090669,eth:ethertype:data,,
13012,11.244605729,eth:ethertype:data,,
13103,11.314593527,eth:ethertype:data,,
13126,11.348789640,eth:ethertype:data,,
13230,11.425225401,eth:ethertype:data,,
13309,11.472021086,eth:ethertype:data,,
13331,11.498071373,eth:ethertype:data,,
13409,11.546360234,eth:ethertype:data,,
13414,11.554014705,eth:ethertype:data,,
13433,11.574012238,eth:ethertype:data,,
13500,11.615278918,eth:ethertype:data,,
13524,11.642730090,eth:ethertype:data,,
13626,11.720781109,eth:ethertype:data,,
13668,11.814800238,eth:ethertype:data,,
13830,11.904168538,eth:ethertype:data,,
13840,11.913129624,eth:ethertype:data,,
13882,11.959590725,eth:ethertype:data,,
13929,11.983901952,eth:ethertype:data,,
13969,12.009076043,eth:ethertype:data,,
13999,12.043951791,eth:ethertype:data,,
14036,12.065518906,eth:ethertype:data,,
14076,12.090237997,eth:ethertype:data,,
14102,12.121288227,eth:ethertype:data,,
14179,12.167929433,eth:ethertype:data,,
14202,12.195458573,eth:ethertype:data,,
14312,12.278146463,eth:ethertype:data,,
14389,12.324888763,eth:ethertype:data,,
14395,12.331826152,eth:ethertype:data,,
14414,12.355841806,eth:ethertype:data,,
14488,12.400106191,eth:ethertype:data,,
14515,12.432137879,eth:ethertype:data,,
14580,12.471816591,eth:ethertype:data,,
14604,12.498929222,eth:ethertype:data,,
14678,12.544667564,eth:ethertype:data,,
14701,12.573119255,eth:ethertype:data,,
14775,12.624590821,eth:ethertype:data,,
14880,12.699964030,eth:ethertype:data,,
14906,12.730248220,eth:ethertype:data,,
14980,12.775522708,eth:ethertype:data,,
15009,12.808413875,eth:ethertype:data,,
15100,12.878342245,eth:ethertype:data,,
15176,12.925015013,eth:ethertype:data,,
15200,12.952121446,eth:ethertype:data,,
15292,13.022060025,eth:ethertype:data,,
15397,13.102581250,eth:ethertype:data,,
15476,13.149817299,eth:ethertype:data,,
15506,13.184520391,eth:ethertype:data,,
15573,13.225801758,eth:ethertype:data,,
15603,13.260133132,eth:ethertype:data,,
15672,13.304294287,eth:ethertype:data,,
15784,13.398004875,eth:ethertype:data,,
15879,13.470231837,eth:ethertype:data,,
15931,13.564372269,eth:ethertype:data,,
16056,13.632428506,eth:ethertype:data,,
16082,13.657027545,eth:ethertype:data,,
16098,13.663956757,eth:ethertype:data,,
16129,13.695024696,eth:ethertype:data,,
16160,13.715160146,eth:ethertype:data,,
16191,13.736648615,eth:ethertype:data,,
16264,13.794659653,eth:ethertype:data,,
16275,13.803147145,eth:ethertype:data,,
16293,13.814051197,eth:ethertype:data,,
16321,13.844099033,eth:ethertype:data,,
16406,13.899632678,eth:ethertype:data,,
16412,13.906576942,eth:ethertype:data,,
16435,13.929613118,eth:ethertype:data,,
16498,13.975616980,eth:ethertype:data,,
16522,13.984535618,eth:ethertype:data,,
16620,14.061801482,eth:ethertype:data,,
16638,14.090382600,eth:ethertype:data,,
16735,14.159831909,eth:ethertype:data,,
16806,14.204518064,eth:ethertype:data,,
16928,14.288278088,eth:ethertype:data,,
16932,14.291569804,eth:ethertype:data,,
16933,14.294676676,eth:ethertype:data,,
16961,14.324519043,eth:ethertype:data,,
17031,14.372745300,eth:ethertype:data,,
17057,14.399108035,eth:ethertype:data,,
17149,14.454671471,eth:ethertype:data,,
17160,14.467040418,eth:ethertype:data,,
17183,14.493289195,eth:ethertype:data,,
17480,14.717839658,eth:ethertype:data,,
17677,14.860687230,eth:ethertype:data,,
17707,14.891426419,eth:ethertype:data,,
17797,14.952631205,eth:ethertype:data,,
17825,14.980610084,eth:ethertype:data,,
17906,15.034580553,eth:ethertype:data,,
17922,15.049698039,eth:ethertype:data,,
18008,15.113150478,eth:ethertype:data,,
18032,15.139655661,eth:ethertype:data,,
18103,15.182715152,eth:ethertype:data,,
18183,15.275175532,eth:ethertype:data,,
18197,15.294992336,eth:ethertype:data,,
18233,15.301076810,eth:ethertype:data,,
18395,15.422093361,eth:ethertype:data,,
18405,15.434931942,eth:ethertype:data,,
18409,15.442324435,eth:ethertype:data,,
18533,15.520404100,eth:ethertype:data,,
18566,15.555265734,eth:ethertype:data,,
18630,15.594585644,eth:ethertype:data,,
18637,15.604621572,eth:ethertype:data,,
